Classification,club_varsity,conference,school_name,Fall 2014,Spring 2015,Fall 2015,Spring 2016,Fall 2016,Spring 2017,Fall 2017,Spring 2018,Fall 2018,Spring 2019,Fall 2019,Spring 2020,Fall 2020,Spring 2021,Fall 2021,Spring 2022,Fall 2022,Spring 2023,Fall 2023
CR,Varsity,NEISA,Connecticut College,29,29,23,20,33,39,30,30,32,33,45,47,24,25,34,33,32,34,29
CR,Varsity,NEISA,Dartmouth College,41,41,26,24,30,31,24,26,29,29,33,32,0,22,35,31,38,35,30
R,Club,NEISA,Fairfield University,18,16,15,16,25,39,21,22,28,30,31,30,1,1,17,7,11,15,14
CR,Varsity,NEISA,Harvard University,46,47,29,28,37,43,43,44,43,54,45,45,0,0,37,34,35,46,32
R,Varsity,NEISA,Maine Maritime Academy,25,25,14,6,20,31,15,15,28,29,46,47,0,2,33,28,35,35,33
CR,Varsity,NEISA,Massachusetts Institute of Technology,62,62,34,26,38,48,39,42,51,53,57,55,0,0,41,36,28,30,29
R,Varsity,NEISA,Massachusetts Maritime Academy,43,45,24,19,41,68,26,27,40,37,43,42,0,0,43,24,29,32,37
R,Club,NEISA,McGill University,40,40,32,0,41,43,24,24,32,31,36,36,0,0,0,1,32,31,30
R,Club,NEISA,Middlebury College,41,41,19,15,26,33,27,30,33,43,41,41,14,17,31,26,23,38,27
CR,Club - Coached,NEISA,Northeastern University,52,54,36,26,49,56,35,41,38,45,45,47,0,0,36,31,29,32,37
F,Club,NEISA,Olin College of Engineering,0,0,0,0,0,0,0,0,5,5,8,8,0,0,13,8,9,11,5
CR,Varsity,NEISA,Roger Williams University,46,47,34,31,41,50,41,42,41,40,42,41,0,20,33,31,40,40,41
R,Club,NEISA,Sacred Heart University,19,17,9,10,10,23,9,12,14,16,15,15,0,0,0,1,5,5,2
CR,Varsity,NEISA,Salve Regina University,21,21,15,14,22,31,24,24,31,31,36,36,0,16,21,18,22,24,17
CR,Varsity,NEISA,Tufts University,63,63,60,106,66,74,53,63,75,81,72,71,2,45,63,55,55,85,55
CR,Varsity,NEISA,U. S. Coast Guard Academy,61,65,33,31,55,78,50,51,56,57,67,69,53,51,46,58,52,63,58
F,Club,NEISA,University of Connecticut,54,54,23,8,37,66,35,38,23,27,30,34,6,7,13,12,9,17,12
F,Club,NEISA,University of Maine,0,0,0,0,0,0,0,0,7,11,9,9,0,0,10,0,0,0,
F,Club,NEISA,University of Massachusetts at Amherst,0,0,10,8,7,27,47,52,60,72,81,83,2,9,25,17,29,35,21
F,Club,NEISA,University of Massachusetts at Dartmouth,15,21,8,9,8,15,7,9,8,9,10,10,1,1,9,9,13,13,7
R,Club,NEISA,University of New Hampshire,50,51,23,15,26,53,36,36,35,49,47,49,0,0,38,30,44,49,42
CR,Club - Coached,NEISA,University of Rhode Island,69,71,40,34,50,61,49,50,54,57,65,66,0,47,48,44,51,52,44
CR,Club - Coached,NEISA,University of Vermont,52,53,30,24,36,47,42,42,42,43,48,49,0,0,40,30,30,35,51
R,Club,NEISA,Wentworth Institute of Technology,0,8,9,7,6,14,11,12,15,16,15,11,0,0,10,9,8,8,5
F,Club,NEISA,Wesleyan University,38,39,19,12,19,30,9,9,22,22,16,16,0,0,12,6,8,8,9
F,Club,NEISA,Williams College,24,25,11,0,10,26,9,12,15,16,16,16,0,0,12,9,21,21,21
F,Club,NEISA,Worcester Polytechnic Institute,13,13,12,4,9,17,11,11,10,10,10,8,0,0,13,7,11,12,14
CR,Varsity,NEISA,Yale University,30,30,24,26,26,28,32,33,32,32,38,40,0,1,33,35,35,35,30
F,Club,PCCSC,Arizona State University,15,15,13,7,14,19,8,8,21,21,38,39,0,0,28,20,19,24,38
CR,Club,PCCSC,Cal Poly University S.L.O.,51,54,27,26,39,66,55,58,82,87,97,99,0,0,55,38,48,60,50
CR,Varsity,PCCSC,California Maritime Academy,36,36,9,0,23,34,17,19,25,27,30,31,0,0,25,20,27,30,27
F,Club,PCCSC,California State University Channel Islands,15,16,5,6,7,13,9,10,9,12,12,17,0,0,12,12,12,15,11
R,Club,PCCSC,Oregon State University,13,14,16,16,12,13,13,15,13,14,12,11,0,4,6,1,13,16,
F,Club,PCCSC,Portland State University,11,10,4,2,2,5,0,0,0,0,1,1,0,0,15,11,9,9,
R,Club,PCCSC,San Diego State University,0,0,0,0,0,8,17,19,17,19,23,21,0,0,19,16,15,20,3
F,Club,PCCSC,Santa Clara University,35,33,17,12,15,31,21,21,24,24,20,20,0,0,0,4,2,2,
CR,Varsity,PCCSC,Stanford University,36,37,26,26,31,35,26,28,28,29,26,26,0,19,20,20,20,21,19
R,Club,PCCSC,University of British Columbia,40,41,15,13,22,50,42,44,55,54,46,47,0,0,0,0,12,14,1
CR,Club,PCCSC,University of California at Berkeley,48,49,30,31,43,58,35,39,47,47,54,54,0,0,32,30,33,34,29
R,Club,PCCSC,University of California at Davis,38,39,11,14,26,35,21,23,22,33,30,33,0,0,26,25,27,30,19
R,Club,PCCSC,University of California at Irvine,25,30,5,10,18,30,12,13,30,30,31,33,0,0,19,8,7,11,22
